dataFileName,nbNeurons,maxNbIterations,NbTests,RatioClass0OverClass1,OverallPrecision,PrecisionForClass0,PrecisionForClass1
004MaxEntropy.txt,2,1000,22,1.2,0.5454545454545454,1.0,0.0
004MaxEntropy.txt,3,10,22,1.2,0.5454545454545454,1.0,0.0
004MaxEntropy.txt,3,100,22,1.2,0.5454545454545454,1.0,0.0
004MaxEntropy.txt,3,1000,22,1.2,0.5454545454545454,1.0,0.0
004MaxEntropy.txt,6,10,22,1.2,0.5454545454545454,1.0,0.0
004MaxEntropy.txt,6,100,22,1.2,0.5454545454545454,1.0,0.0
004MaxEntropy.txt,6,1000,22,1.2,0.5454545454545454,1.0,0.0
004MaxEntropy.txt,9,10,22,1.2,0.5454545454545454,1.0,0.0
004MaxEntropy.txt,9,100,22,1.2,0.5454545454545454,1.0,0.0
004MaxEntropy.txt,9,1000,22,1.2,0.45454545454545453,0.8333333333333334,0.0
004NIBLACK.txt,2,10,149,23.833333333333332,0.959731543624161,1.0,0.0
004NIBLACK.txt,2,100,149,23.833333333333332,0.959731543624161,1.0,0.0
004NIBLACK.txt,2,1000,149,23.833333333333332,0.959731543624161,1.0,0.0
004NIBLACK.txt,3,10,149,23.833333333333332,0.959731543624161,1.0,0.0
004NIBLACK.txt,3,100,149,23.833333333333332,0.959731543624161,1.0,0.0
004NIBLACK.txt,3,1000,149,23.833333333333332,0.959731543624161,1.0,0.0
004NIBLACK.txt,6,10,149,23.833333333333332,0.959731543624161,1.0,0.0
004NIBLACK.txt,6,100,149,23.833333333333332,0.959731543624161,1.0,0.0
004NIBLACK.txt,6,1000,149,23.833333333333332,0.20134228187919462,0.17482517482517482,0.8333333333333334
004NIBLACK.txt,9,10,149,23.833333333333332,0.959731543624161,1.0,0.0
004NIBLACK.txt,9,100,149,23.833333333333332,0.959731543624161,1.0,0.0
004NIBLACK.txt,9,1000,149,23.833333333333332,0.959731543624161,1.0,0.0
004Otsu.txt,2,10,20,2.3333333333333335,0.7,1.0,0.0
004Otsu.txt,2,100,20,2.3333333333333335,0.7,1.0,0.0
004Otsu.txt,2,1000,20,2.3333333333333335,0.7,1.0,0.0
004Otsu.txt,3,10,20,2.3333333333333335,0.7,1.0,0.0
004Otsu.txt,3,100,20,2.3333333333333335,0.7,1.0,0.0
004Otsu.txt,3,1000,20,2.3333333333333335,0.7,1.0,0.0
004Otsu.txt,6,10,20,2.3333333333333335,0.7,1.0,0.0
004Otsu.txt,6,100,20,2.3333333333333335,0.7,1.0,0.0
004Otsu.txt,6,1000,20,2.3333333333333335,0.7,1.0,0.0
004Otsu.txt,9,10,20,2.3333333333333335,0.6,0.8571428571428571,0.0
004Otsu.txt,9,100,20,2.3333333333333335,0.7,1.0,0.0
004Otsu.txt,9,1000,20,2.3333333333333335,0.7,1.0,0.0
006MaxEntropy.txt,2,10,23,2.2857142857142856,0.6956521739130435,1.0,0.0
006MaxEntropy.txt,2,100,23,2.2857142857142856,0.6956521739130435,1.0,0.0
006MaxEntropy.txt,2,1000,23,2.2857142857142856,0.6956521739130435,1.0,0.0
006MaxEntropy.txt,3,10,23,2.2857142857142856,0.6956521739130435,1.0,0.0
006MaxEntropy.txt,3,100,23,2.2857142857142856,0.6956521739130435,1.0,0.0
006MaxEntropy.txt,3,1000,23,2.2857142857142856,0.6956521739130435,1.0,0.0
006MaxEntropy.txt,6,10,23,2.2857142857142856,0.6956521739130435,1.0,0.0
006MaxEntropy.txt,6,100,23,2.2857142857142856,0.6956521739130435,1.0,0.0
006MaxEntropy.txt,6,1000,23,2.2857142857142856,0.6956521739130435,1.0,0.0
006MaxEntropy.txt,9,10,23,2.2857142857142856,0.6956521739130435,1.0,0.0
006MaxEntropy.txt,9,100,23,2.2857142857142856,0.6956521739130435,1.0,0.0
006MaxEntropy.txt,9,1000,23,2.2857142857142856,0.6956521739130435,1.0,0.0
006NIBLACK.txt,2,10,142,27.4,0.9647887323943662,1.0,0.0
006NIBLACK.txt,2,100,142,27.4,0.9647887323943662,1.0,0.0
006NIBLACK.txt,2,1000,142,27.4,0.9647887323943662,1.0,0.0
006NIBLACK.txt,3,10,142,27.4,0.9647887323943662,1.0,0.0
006NIBLACK.txt,3,100,142,27.4,0.9647887323943662,1.0,0.0
006NIBLACK.txt,3,1000,142,27.4,0.9647887323943662,1.0,0.0
006NIBLACK.txt,6,10,142,27.4,0.9647887323943662,1.0,0.0
006NIBLACK.txt,6,100,142,27.4,0.9647887323943662,1.0,0.0
006NIBLACK.txt,6,1000,142,27.4,0.9647887323943662,1.0,0.0
